ID,score
1,5.0
2,8.0
3,5.0
4,5.0
5,3.0
6,6.0
7,6.0
8,3.0
9,2.0
10,6.0
11,5.0
12,6.0
13,3.0
14,6.0
15,8.0
16,5.0
17,7.0
18,6.0
19,3.0
20,4.0
21,5.0
22,5.0
23,7.0
24,5.0
25,4.0
26,7.0
27,6.0
28,6.0
29,7.0
30,5.0
31,5.0
32,8.0
33,7.0
34,2.0
35,8.0
36,8.0
37,5.0
38,5.0
39,8.0
40,4.0
41,4.0
42,7.0
43,7.0
44,5.0
45,9.0
46,6.0
47,5.0
48,6.0
49,5.0
50,4.0
51,6.0
52,5.0
53,6.0
54,7.0
55,3.0
56,8.0
57,7.0
58,8.0
59,4.0
60,7.0
61,6.0
62,5.0
63,4.0
64,3.0
65,7.0
66,5.0
67,7.0
68,6.0
69,3.0
70,5.0
71,7.0
72,3.0
73,7.0
74,6.0
75,5.0
76,8.0
77,8.0
78,8.0
79,7.0
80,5.0
81,8.0
82,7.0
83,5.0
84,6.0
85,7.0
86,6.0
87,4.0
88,8.0
89,4.0
90,7.0
91,5.0
92,7.0
93,5.0
94,6.0
95,5.0
96,7.0
97,5.0
98,8.0
99,3.0
100,9.0
101,7.0
102,6.0
103,6.0
104,5.0
105,5.0
106,5.0
107,7.0
108,6.0
109,8.0
110,7.0
111,4.0
112,5.0
113,4.0
114,6.0
115,6.0
116,5.0
117,8.0
118,8.0
119,5.0
120,6.0
121,5.0
122,5.0
123,6.0
124,6.0
125,5.0
126,2.0
127,2.0
128,6.0
129,8.0
130,5.0
131,7.0
132,7.0
133,7.0
134,8.0
135,8.0
136,5.0
137,6.0
138,8.0
139,6.0
140,7.0
141,6.0
142,7.0
143,6.0
144,6.0
145,5.0
146,6.0
147,8.0
148,6.0
149,7.0
150,5.0
151,7.0
152,6.0
153,4.0
154,8.0
155,4.0
156,7.0
157,5.0
158,5.0
159,7.0
160,6.0
161,7.0
162,6.0
163,5.0
164,8.0
165,8.0
166,7.0
167,2.0
168,7.0
169,9.0
170,6.0
171,8.0
172,8.0
173,7.0
174,7.0
175,6.0
176,4.0
177,6.0
178,8.0
179,4.0
180,7.0
181,7.0
182,6.0
183,7.0
184,6.0
185,7.0
186,5.0
187,7.0
188,2.0
189,6.0
190,6.0
191,8.0
192,5.0
193,5.0
194,6.0
195,5.0
196,7.0
197,7.0
198,6.0
199,7.0
200,9.0
201,5.0
202,6.0
203,3.0
204,4.0
205,5.0
206,5.0
207,3.0
208,5.0
209,8.0
210,8.0
211,4.0
212,6.0
213,6.0
214,5.0
215,5.0
216,7.0
217,3.0
218,6.0
